New-World-chat, chat
bergamot-mint,-lemon-mint,-eau-de-cologne-mint,-Mentha citrata
gooseberry
bog-pimpernel,-Anagallis tenella
blazing-star,-button-snakeroot,-gayfeather,-gay-feather, snakeroot
ceratodus
sheep-botfly,-sheep-gadfly,-Oestrus ovis
bristle-fern,-filmy fern
mamba
pumpkinseed,-Lepomis gibbosus
muskmelon,-sweet melon
largeleaf holly
fir-clubmoss,-mountain-clubmoss,-little-clubmoss,-Lycopodium selago
ice-bear,-polar-bear,-ursus-maritimus,-thalarctos maritimus
lantana
lugworm,-lug, lobworm
balsamroot
thornbill
ayapana,-Ayapana-triplinervis,-Eupatorium aya-pana
mantispid
reed-canary-grass,-gardener's-garters,-lady's-laces,-ribbon-grass,-Phalaris arundinacea
turnip
wallaby,-brush kangaroo
banana quit
shepherd's-purse,-shepherd's-pouch,-Capsella bursa-pastoris
blue-racer,-Coluber-constrictor flaviventris
derris
weevil
meadow-clary,-Salvia pratensis
Barbados-gooseberry,-Barbados-gooseberry-vine,-Pereskia aculeata
fox grape
French-lavender,-Lavandula stoechas
griffon,-Brussels-griffon,-Belgian griffon
leatherleaf,-leathery-polypody,-coast-polypody,-Polypodium scouleri
dotted-gayfeather,-Liatris punctata
leatherback-turtle,-leatherback,-leathery-turtle,-Dermochelys coriacea
long-head-coneflower,-prairie-coneflower,-Ratibida columnifera
puffbird
madder,-Rubia tinctorum
vine-maple,-Acer circinatum
canyon-oak,-canyon-live-oak,-maul-oak,-iron-oak,-Quercus chrysolepis
sea-squill,-sea-onion,-squill,-Urginea maritima
sea-anemone, anemone
wavy-leaved aster
desert-sand-verbena,-Abronia villosa
silkworm
snake-mackerel,-Gempylus serpens
valerian
pichi,-Fabiana imbricata
ring-necked-pheasant,-Phasianus colchicus
rape,-colza,-Brassica napus
scarlet-bugler,-Penstemon centranthifolius
western-coral-snake,-Micruroides euryxanthus
indri,-indris,-Indri-indri,-Indri brevicaudatus
Mediterranean-flour-moth,-Anagasta kuehniella
nonsmoker, nonsmoking_car
chickadee
white-topped aster
prairie-white-fringed-orchid,-Platanthera leucophea
fig,-common-fig,-common-fig-tree,-Ficus carica
studio-couch,-day bed
quandong,-quandang,-quandong-tree,-Eucarya-acuminata,-Fusanus acuminatus
pyrethrum,-Dalmatian-pyrethrum,-Dalmatia-pyrethrum,-Tanacetum-cinerariifolium,-Chrysanthemum cinerariifolium
climbing-onion,-Bowiea volubilis
swamp-white-oak,-swamp-oak,-Quercus bicolor
alpine-coltsfoot,-Homogyne-alpina,-Tussilago alpina
sperm-whale,-cachalot,-black-whale,-Physeter catodon
cucumber, cuke
false-indigo,-bastard-indigo,-Amorpha fruticosa
crossbill,-Loxia curvirostra
Wisconsin-weeping-willow,-Salix-pendulina,-Salix-blanda,-Salix-pendulina blanda
Pacific-bottlenose-dolphin,-Tursiops gilli
silky-pocket-mouse,-Perognathus flavus
water moccasin
cowrie, cowry
desert-four-o'clock,-Colorado-four-o'clock,-maravilla,-Mirabilis multiflora
butterfly-weed,-orange-milkweed,-chigger-flower,-chiggerflower,-pleurisy-root,-tuber-root,-Indian-paintbrush,-Asclepias tuberosa
waxflower,-Clusia insignis
satinwood,-satinwood-tree,-Chloroxylon swietenia
chinchilla,-Chinchilla laniger
water rat
farm-horse, dobbin
brooklime,-American-brooklime,-Veronica americana
cattle,-cows,-kine,-oxen,-Bos taurus
sweet-sultan,-Centaurea imperialis
river boat
common-iguana,-iguana,-Iguana iguana
alpine-bearberry,-black-bearberry,-Arctostaphylos alpina
guano-bat,-Mexican-freetail-bat,-Tadarida brasiliensis
Java-man,-Trinil man
abrocome,-chinchilla-rat,-rat chinchilla
cheetah,-chetah,-acinonyx jubatus
white-crappie,-Pomoxis annularis
wandflower,-Sparaxis tricolor
orange-daisy,-orange-fleabane,-Erigeron aurantiacus
pink-bollworm,-Gelechia gossypiella
honey-buzzard,-Pernis apivorus
Japanese-linden,-Japanese-lime,-Tilia japonica
scabious, scabiosa
gold-tail-moth,-Euproctis chrysorrhoea
Cashmere-goat,-Kashmir goat
western-big-eared-bat,-Plecotus townsendi
pallas's-sandgrouse,-Syrrhaptes paradoxus
cottonwood
domestic-animal,-domesticated animal
alpine-salamander,-Salamandra atra
western-fence-lizard,-swift,-blue-belly,-Sceloporus occidentalis
cabbage, chou
lawn_chair, garden_chair
tenrec, tendrac
Indian-coral-tree,-Erythrina-variegata,-Erythrina Indica
sedan,-sedan chair
mayeng,-maple-leaved-bayur,-Pterospermum acerifolium
ground-beetle,-carabid beetle
algarroba,-algarrobilla, algarobilla
kitten, kitty
galago,-bushbaby,-bush baby
durra,-doura,-dourah,-Egyptian-corn,-Indian-millet,-Guinea corn
white-rumped-shrike,-Lanius-ludovicianus excubitorides
yellow-mountain-saxifrage,-Saxifraga aizoides
calamus
Roman-hyacinth,-Hyacinthus-orientalis albulus
explorer's-gentian,-Gentiana calycosa
three-toed-sloth,-ai,-bradypus tridactylus
lesser-kudu,-Tragelaphus imberbis
tassel-flower,-Emilia sagitta
grassy-death-camas,-Zigadenus-venenosus,-Zigadenus-venenosus gramineus
apple-maggot,-railroad-worm,-Rhagoletis pomonella
treelet
rattlesnake root
sour cherry
beach-sand-verbena,-pink-sand-verbena,-Abronia umbellata
macrotus,-Macrotus californicus
red-alder,-Oregon-alder,-Alnus rubra
grugru,-gri-gri,-grugru-palm,-macamba,-Acrocomia aculeata
wild-potato-vine,-wild-sweet-potato-vine,-man-of-the-earth,-manroot,-scammonyroot,-Ipomoea-panurata,-Ipomoea fastigiata
stelis
crested-wheatgrass,-crested-wheat-grass,-fairway-crested-wheat-grass,-Agropyron cristatum
divi-divi,-Caesalpinia coriaria
courser
pigfish,-hogfish,-Orthopristis chrysopterus
pickup,-pickup truck
sainfoin,-sanfoin,-holy-clover,-esparcet,-Onobrychis-viciifolia,-Onobrychis viciaefolia
muskellunge,-Esox masquinongy
water-ouzel, dipper
incense tree
field-thistle,-Cirsium discolor
star-begonia,-star-leaf-begonia,-Begonia heracleifolia
Australian-sea-lion,-Zalophus lobatus
merino,-merino sheep
coyol,-coyol-palm,-Acrocomia vinifera
pine spittlebug
citrus-mealybug,-Planococcus citri
beast-of-burden, jument
mountain-ash,-Fraxinus texensis
eastern-indigo-snake,-Drymarchon-corais couperi
little-golden-zinnia,-Zinnia grandiflora
coralberry,-spiceberry,-Ardisia crenata
greater-masterwort,-Astrantia major
grasshopper, hopper
praya
passenger-car,-coach, carriage
diapensia
coconut,-coconut-palm,-coco-palm,-coco,-cocoa-palm,-coconut-tree,-Cocos nucifera
wood-warbler,-Phylloscopus sibilatrix
black-capped-chickadee,-blackcap,-Parus atricapillus
net-melon,-netted-melon,-nutmeg melon
rock-crab,-cancer irroratus
New-World-oriole,-American-oriole, oriole
garbage-truck, dustcart
red-shrubby-penstemon,-redwood penstemon
monkey
redhorse,-redhorse sucker
transport ship
deciduous plant
racehorse,-race-horse, bangtail
yellow-jack,-Caranx bartholomaei
common-opossum,-Didelphis-virginiana,-Didelphis marsupialis
American-mink,-Mustela vison
tiger-salamander,-Ambystoma tigrinum
big-cat, cat
whaler,-whaling ship
Coigue,-Nothofagus dombeyi
greater-butterfly-orchid,-Platanthera-chlorantha,-Habenaria chlorantha
garden-spider,-Aranea diademata
sidewinder,-horned-rattlesnake,-crotalus cerastes
Liopelma hamiltoni
sassaby,-topi,-Damaliscus lunatus
goatsfoot,-goat's-foot,-Oxalis caprina
southern-buckthorn,-shittimwood,-shittim,-mock-orange,-Bumelia lycioides
pepper
Atlas-cedar,-Cedrus atlantica
stepper,-high stepper
cankerworm
Carolina-parakeet,-Conuropsis carolinensis
Audubon's-warbler,-Audubon-warbler,-Dendroica auduboni
cichlid,-cichlid fish
thyme-leaved-speedwell,-Veronica serpyllifolia
Greek-partridge,-rock-partridge,-Alectoris graeca
snow goose
bombardier beetle
angora,-angora rabbit
leaf-beetle, chrysomelid
thoroughbred,-purebred, pureblood
alewife,-Alosa-pseudoharengus,-Pomolobus pseudoharengus
willow-oak,-Quercus phellos
tall-bellflower,-Campanula americana
water pimpernel
trifoliate-orange,-trifoliata,-wild-orange,-Poncirus trifoliata
dwarf-elder,-danewort,-Sambucus ebulus
eucalyptus,-eucalypt,-eucalyptus tree
winged-pigweed,-tumbleweed,-Cycloloma atriplicifolium
potato-vine,-Solanum jasmoides
wirehair,-wirehaired-terrier,-wire-haired terrier
dangleberry,-dangle-berry,-Gaylussacia frondosa
European-hornbeam,-Carpinus betulus
chimpanzee,-chimp,-pan troglodytes
squaw-grass,-bear-grass,-Xerophyllum tenax
bigeye
gopher-tortoise,-gopher-turtle,-gopher,-Gopherus polypemus
Przewalski's-horse,-Przevalski's-horse,-Equus-caballus-przewalskii,-Equus-caballus przevalskii
hookworm
cornetfish
liza,-Mugil liza
earwig
Dutch-elm,-Ulmus hollandica
dry-wood termite
twin bed
rock-dove,-rock-pigeon,-Columba livia
scammony,-Convolvulus scammonia
European-spider-crab,-king-crab,-Maja squinado
horseshoe bat
lizardfish,-snakefish, snake-fish
broom grass
John-Dory,-Zeus faber
tassel-hyacinth,-Muscari comosum
rivulus
hominoid
Gazella subgutturosa
butterfly-orchid,-Encyclia-tampensis,-Epidendrum tampense
allosaur, allosaurus
trogon
clary,-Salvia sclarea
privet
ponderosa,-ponderosa-pine,-western-yellow-pine,-bull-pine,-Pinus ponderosa
African mahogany
African-coral-snake,-Aspidelaps lubricus
hyrax,-coney,-cony,-dassie, das
cabbage-palm,-Roystonea oleracea
silver-lime,-silver-linden,-Tilia tomentosa
pecan,-pecan-tree,-Carya-illinoensis,-Carya illinoinsis
pullet
marang,-marang-tree,-Artocarpus odoratissima
cricket
homeotherm,-homoiotherm, homotherm
Panama-redwood-tree,-Panama-redwood,-Platymiscium pinnatum
true lobster
argus,-argus pheasant
bush-vetch,-Vicia sepium
Verdicchio
white-whale,-beluga,-Delphinapterus leucas
piranha,-pirana, caribe
water dog
bloomers,-pants,-drawers, knickers
Alaska-fur-seal,-Callorhinus ursinus
papaya
buckeye,-horse-chestnut, conker
great-knapweed,-greater-knapweed,-Centaurea scabiosa
common-lilac,-Syringa vulgaris
European-goatsucker,-European-nightjar,-Caprimulgus europaeus
Pinot noir
lanseh-tree,-langsat,-langset,-Lansium domesticum
madrona,-madrono,-manzanita,-Arbutus menziesii
Homo sapiens
wire-haired-fox terrier
Oregon-maple,-big-leaf-maple,-Acer macrophyllum
eastern-cottontail,-Sylvilagus floridanus
pepper-tree,-molle,-Peruvian-mastic-tree,-Schinus molle
blue-toadflax,-old-field-toadflax,-Linaria canadensis
alpine-clover,-Trifolium alpinum
shield-fern,-buckler fern
moneywort,-creeping-Jenny,-creeping-Charlie,-Lysimachia nummularia
grey-poplar,-gray-poplar,-Populus canescens
Spanish-needles,-Bidens bipinnata
limpet
lime
Blackburn,-Blackburnian-warbler,-Dendroica fusca
celeriac,-celery root
giant-panda,-panda,-panda-bear,-coon-bear,-Ailuropoda melanoleuca
yam-bean,-Pachyrhizus erosus
tongueflower, tongue-flower
Asian-black-grouse,-Lyrurus mlokosiewiczi
mutton-snapper,-muttonfish,-Lutjanus analis
purple-sanicle,-Sanicula bipinnatifida
wheat,-wheat berry
cayenne,-cayenne pepper
Boswellia carteri
honey guide
mail train
palometa,-California-pompano,-Palometa simillima
scale insect
bok-choy,-bok-choi,-pakchoi,-pak-choi,-Chinese-white-cabbage,-Brassica-rapa chinensis
compass-plant,-compass flower
prairie-cordgrass,-freshwater-cordgrass,-slough-grass,-Spartina pectinmata
plectognath,-plectognath fish
Carolina-allspice,-strawberry-shrub,-strawberry-bush,-sweet-shrub,-Calycanthus floridus
panicled aster
little-barley,-Hordeum pusillum
jacksnipe,-half-snipe,-Limnocryptes minima
Jaculus jaculus
Chinese-alligator,-Alligator sinensis
stevia
balsam-apple,-Momordica balsamina
waxwork,-wax figure
malarial-mosquito,-malaria mosquito
wild-hollyhock,-Iliamna-remota,-Sphaeralcea remota
interior-live-oak,-Quercus-wislizenii,-Quercus wizlizenii
Knowlton's-cactus,-Pediocactus knowltonii
hedge-sparrow,-sparrow,-dunnock,-Prunella modularis
pandanus,-screw pine
mammee-apple,-mammee,-mamey,-mammee-tree,-Mammea americana
angel-shark,-angelfish,-Squatina-squatina, monkfish
bloodwood-tree,-kiaat,-Pterocarpus angolensis
Dungeness-crab,-Cancer magister
hardstem-bulrush,-hardstemmed-bulrush,-Scirpus acutus
Arizona-cypress,-Cupressus arizonica
woolly-daisy,-dwarf-daisy,-Antheropeas-wallacei,-Eriophyllum wallacei
leatherjacket
horned-pondweed,-Zannichellia palustris
bench hook
red-campion,-red-bird's-eye,-Silene-dioica,-Lychnis dioica
hubbard squash
Fraser-fir,-Abies fraseri
highchair,-feeding chair
dabbling-duck, dabbler
single bed
fetus, foetus
podicipitiform seabird
northern-bobwhite,-Colinus virginianus
loganberry
Cornish,-Cornish fowl
green-douglas-fir,-douglas-spruce,-douglas-pine,-douglas-hemlock,-Oregon-fir,-Oregon-pine,-Pseudotsuga menziesii
trail-bike,-dirt-bike, scrambler
heartseed,-Cardiospermum grandiflorum
coral-drops,-Bessera elegans
stock car
steamer, steamship
Carolina-spring-beauty,-Claytonia caroliniana
Dutch-iris,-Iris filifolia
floating-moss,-Salvinia-rotundifolia,-Salvinia auriculata
sicklepod,-Arabis Canadensis
wild-carrot,-Queen-Anne's-lace,-Daucus carota
Saigon-cinnamon,-Cinnamomum loureirii
American-larch,-tamarack,-black-larch,-Larix laricina
beet-armyworm,-Spodoptera exigua
American-smooth-dogfish,-Mustelus canis
lumpsucker
kaki,-Himantopus novae-zelandiae
gorgonian,-gorgonian coral
coelophysis
long-horned-beetle,-longicorn,-longicorn beetle
forget-me-not,-mouse-ear,-Myosotis scorpiodes
lemon-scented-gum,-Eucalyptus-citriodora,-Eucalyptus-maculata citriodora
sambar,-sambur,-Cervus unicolor
jungle-cat,-Felis chaus
bee beetle
nightshade
cascades-frog,-Rana cascadae
red-goosefoot,-French-spinach,-Chenopodium rubrum
mantis-shrimp,-mantis crab
canebrake-rattlesnake,-canebrake-rattler,-Crotalus-horridus atricaudatus
dead nettle
silk-tree,-Albizia-julibrissin,-Albizzia julibrissin
rowan,-rowan-tree,-European-mountain-ash,-Sorbus aucuparia
mushroom coral
ruddy-turnstone,-arenaria interpres
gymnospermous tree
ramie,-ramee,-Chinese-silk-plant,-China-grass,-Boehmeria nivea
horseradish
quaking-aspen,-European-quaking-aspen,-Populus tremula
sturgeon
moving van
mail car
jennet,-jenny,-jenny ass
heath-aster,-Aster ericoides
golden-fern,-leather-fern,-Acrostichum aureum
bitter-almond,-Prunus-dulcis-amara,-Amygdalus-communis amara
mountain paca
pea-tree, caragana
Kentucky-yellowwood,-gopherwood,-Cladrastis-lutea,-Cladrastis kentukea
Spanish-oyster-plant,-Scolymus hispanicus
field-cricket,-Acheta assimilis
Genet,-Edmund-Charles-Edouard-Genet,-Citizen Genet
clintonia,-Clinton's lily
Australopithecus afarensis
brown-hyena,-strand-wolf,-Hyaena brunnea
sand rat
yellowhammer,-yellow-bunting,-Emberiza citrinella
Eurasian-kingfisher,-Alcedo atthis
globe-lily,-fairy lantern
blueberry,-blueberry bush
hedgehog cereus
cow-parsley,-wild-chervil,-Anthriscus sylvestris
spaghetti squash
damselfly
trumpeter,-trumpeter-swan,-Cygnus buccinator
mate,-Paraguay-tea,-Ilex paraguariensis
cobra
potato-fern,-Solanopteris bifrons
parsnip
zinnia,-old-maid,-old-maid flower
solitary-vireo,-Vireo solitarius
carambola,-star fruit
wood-rabbit,-cottontail,-cottontail rabbit
tree-lupine,-Lupinus arboreus
spring-cress,-Cardamine bulbosa
Cape-tulip,-Haemanthus coccineus
weld
Morris chair
Old-World vulture
sweet-cherry,-black cherry
death-camas, zigadene
King-William-pine,-Athrotaxis selaginoides
okapi,-Okapia johnstoni
hospital_ship
ceibo,-crybaby-tree,-cry-baby-tree,-common-coral-tree,-Erythrina crista-galli
picket ship
lacertid-lizard, lacertid
howler-monkey, howler
loach
-Dabeoc's-heath,-Daboecia cantabrica
tragopan
blackjack,-cosh, sap
hemiepiphyte, semiepiphyte
gravy-boat,-gravy-holder,-sauceboat, boat
ark shell
Egyptian cat
snowshoe-hare,-snowshoe-rabbit,-varying-hare,-Lepus americanus
yellow-pimpernel,-Lysimachia nemorum
louvar,-Luvarus imperialis
draft animal
beggarweed,-Desmodium-tortuosum,-Desmodium purpureum
bocconia,-tree-celandine,-Bocconia frutescens
blue curls
skipjack,-skipjack-tuna,-Euthynnus pelamis
false-gavial,-Tomistoma schlegeli
lemming
asparagus,-edible-asparagus,-Asparagus officinales
cider-gum,-Eucalypt gunnii
tree-of knowledge
mangabey
berth,-bunk,-built-in bed
fig tree
plains-pocket-mouse,-Perognathus flavescens
Queensland-nut,-Macadamia tetraphylla
strawberry-tree,-Irish-strawberry,-Arbutus unedo
Venus'-slipper,-Venus's-slipper,-Venus's shoe
imago
dealfish,-Trachipterus arcticus
veronica, speedwell
fairy shrimp
butternut squash
nemophila
currant
South-American-staghorn,-Platycerium andinum
jungle cock
bald-faced-hornet,-white-faced-hornet,-Vespula maculata
wild-indigo,-false indigo
heath-pea,-earth-nut-pea,-earthnut-pea,-tuberous-vetch,-Lathyrus tuberosus
pulasan,-pulassan,-pulasan-tree,-Nephelium mutabile
pacemaker,-artificial pacemaker
Homo habilis
frilled-lizard,-chlamydosaurus kingi
cottonweed
kiwi,-kiwi-fruit,-Chinese gooseberry
ribbon-fern,-spider-fern,-Pteris serrulata
European-white-lily,-Nymphaea alba
coast-boykinia,-Boykinia-elata,-Boykinia occidentalis
Charolais
goat,-caprine animal
tobacco-hornworm,-tomato-worm,-Manduca sexta
young mammal
grain sorghum
saki
gerardia
brill,-Scophthalmus rhombus
hazelnut,-hazel,-hazelnut tree
tansy-mustard,-Descurainia pinnata
tawny-owl,-Strix aluco
star-saxifrage,-starry-saxifrage,-Saxifraga stellaris
daisy-fleabane,-Erigeron annuus
upland-cotton,-Gossypium hirsutum
porcupine, hedgehog
chalice-vine,-trumpet-flower,-cupflower,-Solandra guttata
subshrub, suffrutex
Australian-nettle,-Australian-nettle tree
chorus frog
porcupinefish,-porcupine-fish,-Diodon hystrix
coal_car
genet,-Genetta genetta
sobralia
shrew, shrewmouse
winter-heliotrope,-sweet-coltsfoot,-Petasites fragrans
dragonfly,-darning-needle,-devil's-darning-needle,-sewing-needle,-snake-feeder,-snake-doctor,-mosquito-hawk,-skeeter hawk
winter-purslane,-miner's-lettuce,-Cuban-spinach,-Montia perfoliata
black-buffalo,-Ictiobus niger
yellow-chamomile,-golden-marguerite,-dyers'-chamomile,-Anthemis tinctoria
roughtail-stingray,-Dasyatis centroura
northern-Jacob's-ladder,-Polemonium boreale
walnut,-walnut tree
gorilla,-gorilla gorilla
PT-boat,-mosquito-boat,-mosquito-craft,-motor-torpedo boat
ground-ivy,-alehoof,-field-balm,-gill-over-the-ground,-runaway-robin,-Glechoma-hederaceae,-Nepeta hederaceae
cabbage-palm,-cabbage-tree,-Livistona australis
puku,-Adenota vardoni
phasmid,-phasmid insect
eurypterid
kit, outfit
woodcock
boojum-tree,-cirio,-Fouquieria-columnaris,-Idria columnaris
Spanish-mackerel,-Scomber colias
chair-of state
deepwater-squirrelfish,-Holocentrus bullisi
wayfaring-tree,-twist-wood,-twistwood,-Viburnum lantana
Chinese-forget-me-not,-Cynoglossum amabile
Texas-horned-lizard,-Phrynosoma cornutum
assassin-bug, reduviid
Atlantic-tripletail,-Lobotes surinamensis
Jacob's-ladder,-jack-ladder,-pilot ladder
marsh-plant,-bog-plant,-swamp plant
brazil-nut,-brazil-nut-tree,-Bertholletia excelsa
frogmouth
Nuttall-oak,-Nuttall's-oak,-Quercus nuttalli
floating-fern,-water-sprite,-Ceratopteris pteridioides
spice tree
downy-birch,-white-birch,-Betula pubescens
tachina fly
goldfinch,-carduelis carduelis
electric,-electric-automobile,-electric car
Epipactis helleborine
Bletilla-striata,-Bletia striata
raffia-palm,-Raffia-farinifera,-Raffia ruffia
European-wolf-spider,-tarantula,-Lycosa tarentula
deer-grass,-meadow beauty
harrier-eagle,-short-toed eagle
button-fern,-Pellaea rotundifolia
water-lobelia,-Lobelia dortmanna
pilot-whale,-black-whale,-common-blackfish,-blackfish,-Globicephala melaena
large-flowered-calamint,-Calamintha-grandiflora,-Clinopodium-grandiflorum,-Satureja grandiflora
sawfish
basil
yellow-colicroot,-Aletris aurea
teasel,-teazel, teasle
bushtit,-bush tit
redfin-pickerel,-barred-pickerel,-Esox americanus
pistachio,-pistachio nut
spiny-lobster,-langouste,-rock-lobster,-crawfish,-crayfish,-sea crawfish
otter-shrew,-potamogale,-Potamogale velox
bustard
permit,-Trachinotus falcatus
bird's-foot-trefoil,-Trigonella ornithopodioides
whitetail-prairie-dog,-Cynomys gunnisoni
brine-shrimp,-Artemia salina
May apple
gooseberry,-gooseberry-bush,-Ribes-uva-crispa,-Ribes grossularia
corn-speedwell,-Veronica arvensis
booby
ruffed-grouse,-partridge,-bonasa umbellus
rush-grass, rush-grass
wild-boar,-boar,-Sus scrofa
cruise-ship,-cruise liner
water-vole,-water-rat,-Arvicola amphibius
nerita
rauwolfia, rauvolfia
hippopotamus,-hippo,-river-horse,-hippopotamus amphibius
sieva-bean,-butter-bean,-butterbean,-civet bean
intermediate-wheatgrass,-Agropyron-intermedium,-Elymus hispidus
black-mamba,-Dendroaspis augusticeps
melolonthid beetle
fleabane
killer-whale,-killer,-orca,-grampus,-sea-wolf,-Orcinus orca
Oregon-grape,-Oregon-holly-grape,-hollygrape,-mountain-grape,-holly-leaves-barberry,-Mahonia aquifolium
bivalve,-pelecypod, lamellibranch
creeping-bugle,-Ajuga reptans
smew,-Mergus albellus
banded gecko
acrodont
dyer's-rocket,-dyer's-mignonette,-weld,-Reseda luteola
peanut,-earthnut,-goober,-goober-pea,-groundnut,-monkey nut
lupine, lupin
bean tree
stag
snapper,-Chrysophrys auratus
rubber-boa,-tow-headed-snake,-Charina bottae
hornet
spotted-lynx,-Lynx pardina
rough-leaved aster
ague-root,-ague-grass,-Aletris farinosa
barren-ground-caribou,-Rangifer arcticus
hyacinth, jacinth
glacier-lily,-snow-lily,-Erythronium grandiflorum
tiger-cowrie,-Cypraea tigris
spotted-sunfish,-stumpknocker,-Lepomis punctatus
field pea
almond-moth,-fig-moth,-Cadra cautella
cat's-tail,-bullrush,-bulrush,-nailrod,-reed-mace,-reedmace,-Typha latifolia
wing-nut,-wing-nut,-wing-screw,-butterfly-nut, thumbnut
palfrey
dog-flea,-Ctenocephalides canis
fetterbush,-fetter-bush,-shiny-lyonia,-Lyonia lucida
ram, tup
admiral
sowbane,-red-goosefoot,-Chenopodium hybridum
American-green-toad,-Bufo debilis
tiglon, tigon
ichneumon fly
boat hook
baneberry
Western-diamondback,-Western-diamondback-rattlesnake,-Crotalus atrox
glory-pea, clianthus
tung-tree,-tung,-tung-oil-tree,-Aleurites fordii
markhor,-markhoor,-Capra falconeri
digger wasp
Mother-Carey's-chicken,-Mother-Carey's-hen,-Oceanites oceanicus
river-shad,-Alosa chrysocloris
large-periwinkle,-Vinca major
Australian-sumac,-Rhodosphaera-rhodanthema,-Rhus rhodanthema
Atlantic-cod,-Gadus morhua
sulfur-paintbrush,-Castilleja sulphurea
lorikeet
broom-beard-grass,-prairie-grass,-wire-grass,-Andropogon-scoparius,-Schizachyrium scoparium
marsh-gentian,-calathian-violet,-Gentiana pneumonanthe
killdeer,-kildeer,-killdeer-plover,-Charadrius vociferus
spider-monkey,-Ateles geoffroyi
axolotl,-mud-puppy,-ambystoma mexicanum
tow-truck,-tow-car, wrecker
American-beech,-white-beech,-red-beech,-Fagus-grandifolia,-Fagus americana
maguey,-Agave atrovirens
bitter-orange,-Seville-orange,-sour orange
silver fox
wood-ibis,-wood-stork,-flinthead,-Mycteria americana
codling
shrimpfish, shrimp-fish
hydrozoan, hydroid
Parry-manzanita,-Arctostaphylos manzanita
yellow-honeysuckle,-Lonicera flava
leather carp
saddle-horse,-riding-horse, mount
arboreal-salamander,-Aneides lugubris
green-peafowl,-Pavo muticus
grasshopper mouse
goat-grass,-Aegilops triuncalis
goldenrod
hound's-tongue,-Cynoglossum officinale
citron
rock-python,-rock-snake,-python sebae
lady-tulip,-candlestick-tulip,-Tulipa clusiana
brittle-bladder-fern,-brittle-fern,-fragile-fern,-Cystopteris fragilis
marsh-elder, iva
broad-leaved-plantain,-common-plantain,-white-man's-foot,-whiteman's-foot,-cart-track-plant,-Plantago major
flowering maple
white-currant,-Ribes sativum
holly-fern,-Cyrtomium-aculeatum,-Polystichum aculeatum
oil_tanker, oiler, tanker, tank_ship
bee-orchid,-Ophrys apifera
tussock-bellflower,-spreading-bellflower,-Campanula carpatica
giant-panda,-panda,-panda-bear,-coon-bear,-ailuropoda melanoleuca
talipot,-talipot-palm,-Corypha umbraculifera
wild-pink,-Silene caroliniana
curly-grass,-curly-grass-fern,-Schizaea pusilla
pew,-church bench
mock privet
American-arborvitae,-northern-white-cedar,-white-cedar,-Thuja occidentalis
northern-sea-robin,-Prionotus carolinus
klammath-weed,-Hypericum perforatum
June-beetle,-June-bug,-May-bug,-May beetle
great-grey-owl,-great-gray-owl,-Strix nebulosa
bog-star,-Parnassia palustris
underwing
coraciiform bird
abortus
brit, britt
ribbon-fern,-Ophioglossum pendulum
puppy
worker bee
garlic-mustard,-hedge-garlic,-sauce-alone,-jack-by-the-hedge,-Alliaria officinalis
balloonfish,-Diodon holocanthus
fairy-bluebird, bluebird
sea-island-cotton,-tree-cotton,-Gossypium barbadense
pole bean
closed-gentian,-blind-gentian,-Gentiana clausa
cupflower, nierembergia
water-gillyflower,-American-featherfoil,-Hottonia inflata
cockroach, roach
hedge-nettle,-dead-nettle,-Stachys sylvatica
yaupon holly
polypody
armyworm
princewood,-Spanish-elm,-Cordia gerascanthus
green bean
scarlet-wisteria-tree,-vegetable-hummingbird,-Sesbania grandiflora
asarabacca,-Asarum europaeum
fen-orchid,-fen-orchis,-Liparis loeselii
Gentianopsis-thermalis,-Gentiana thermalis
common-white-dogwood,-eastern-flowering-dogwood,-Cornus florida
bus stop
Dorking
bird-feeder,-birdfeeder, feeder
nectarine,-nectarine-tree,-Prunus-persica nectarina
asparagus
aquatic
jack, jackass
New-World sparrow
columbo,-American-columbo,-deer's-ear,-deer's-ears,-pyramid-plant,-American gentian
Alpine-lady-fern,-Athyrium distentifolium
ragged-orchid,-ragged-orchis,-ragged-fringed-orchid,-green-fringed-orchis,-Habenaria lacera
green-lizard,-lacerta viridis
moosewood,-moose-wood,-striped-maple,-striped-dogwood,-goosefoot-maple,-Acer pennsylvanicum
false-sago,-fern-palm,-Cycas circinalis
sea-lamprey,-Petromyzon marinus
Leichtlin's-camas,-Camassia leichtlinii
shortgrass, short-grass
pygmy-chimpanzee,-bonobo,-Pan paniscus
spiderwort, dayflower
caribou,-reindeer,-Greenland-caribou,-Rangifer tarandus
Hessian-fly,-Mayetiola destructor
whooping-crane,-whooper,-Grus americana
pin-oak,-swamp-oak,-Quercus palustris
scrub-pine,-Virginia-pine,-Jersey-pine,-Pinus virginiana
dagame,-lemonwood-tree,-Calycophyllum candidissimum
sea-bream, bream
broadtail,-caracul, karakul
silkworm,-giant-silkworm,-wild wilkworm
marmalade-tree,-mammee,-sapote,-Pouteria-zapota,-Calocarpum zapota
leaf-roller, leaf-roller
pteridophyte,-nonflowering plant
blood clam
canary,-canary bird
pecan
book-scorpion,-Chelifer cancroides
rice-weevil,-black-weevil,-Sitophylus oryzae
pollinator
dung beetle
bushman's-poison,-ordeal-tree,-Acocanthera-oppositifolia,-Acocanthera venenata
tongue-worm, pentastomid
tiger-snake,-Notechis scutatus
